[WARNING] 2025-11-11 18:34:29,857 | django.request | Not Found: /favicon.ico
[INFO] 2025-11-11 19:01:26,307 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-11-11 19:01:32,545 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-11-11 19:01:39,067 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-11-11 19:49:14,815 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-11-11 19:49:18,748 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:49:19,297 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:49:30,132 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:49:30,508 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:49:34,372 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:49:34,692 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:49:36,621 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:49:36,954 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:49:37,624 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:49:37,953 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-11-11 19:50:18,749 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-11-11 19:52:11,288 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-11-11 19:52:18,256 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:52:18,897 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:52:30,039 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:52:30,289 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:52:30,672 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:52:40,860 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:52:41,254 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-11 19:52:44,307 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:52:44,553 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-11 19:52:44,960 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
